moneyness(S/K),0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
0.8,0.00031564528594426857,0.00966659693605453,0.032398906365475974,0.06120100696603268,0.09123989844301776,0.12042140438255113,0.14796643068148146,0.1736640068287804,0.1975402595993698,0.21971396756344164
0.85,0.006959846162429267,0.04831102802902136,0.09790430376742361,0.14321145510428168,0.18269369951172604,0.2169944421932556,0.2470221342685112,0.2735710301827072,0.29727410790492065,0.31862523612800675
0.9,0.05988736367113056,0.15321588975473588,0.21995864332497503,0.26932553948841614,0.3078666115182102,0.3392318546339703,0.3655589717274471,0.388181598079486,0.40797838673676023,0.4255548346973592
0.95,0.24161623698329726,0.33768082843833724,0.38989573484868284,0.4252436432326525,0.45187391672964905,0.4732346697357368,0.4910830044495642,0.5064278013482818,0.5198988242484613,0.5319143148149019
1.0,0.5435210422278718,0.5610670403593406,0.5742870828393771,0.5852480325396846,0.5947532558075065,0.6032161597985899,0.6108831539510987,0.6179153300392051,0.6244249632202068,0.6304940803227962
1.05,0.8103332887385776,0.7571493989471895,0.7357576436903073,0.7251943534099001,0.71963021957837,0.7167648503064526,0.7155010026273971,0.715248363482781,0.7156616853640665,0.7165262878498455
1.1,0.9461860400199023,0.8873932504139491,0.8532644496091536,0.8318492406497457,0.8174898815817578,0.8074219573927645,0.8001506031906969,0.7947977957488105,0.7908137046623273,0.7878362850102633
1.15,0.9888540006965675,0.9552904059708577,0.9261041360211895,0.9040023714158959,0.8872774097693628,0.8743937503618762,0.8642832695582513,0.856220374453975,0.8497042752862369,0.8443809767472705
1.2,0.9976226045590032,0.9839462494284855,0.9653772576960066,0.9480178782783367,0.9331386718572249,0.9206494937757818,0.9101835492823391,0.9013723888284889,0.8939057658804006,0.8875351465610701
